shape	method	cells	triangles	degenerate	hausdorff	mean_normal_deg	max_normal_deg	mean_edge_aspect	max_edge_aspect	cold_field_samples	cold_patch_ms	cold_e2e_ms	update_field_samples	update_patch_ms	update_e2e_ms	retained_bytes
perlin-terrain	marching-tetrahedra	6144	994	0	0.152916787	16.897170242	116.730192331	3.712805963	238.258648340	24576	4.262708	5.148834	24576	4.535750	5.337375	1570872
perlin-terrain	lattice-cleaving	6144	994	0	0.152916787	16.897170242	116.730192331	3.712805963	238.258648340	24576	4.429250	9.193542	24576	4.567125	9.511625	1570872
perlin-terrain	dual-contouring	6144	2466	0	0.126766188	19.982866621	89.551238844	3.750426034	180.178101675	24576	6.237500	7.006208	24576	6.489750	7.285000	2481840
perlin-terrain	four-hexahedra	6144	23203	0	0.077343245	5.929137063	89.975627060	10.130150738	70560.600152153	368640	99.855375	102.127917	368640	101.457625	103.543542	10534912
perlin-terrain	surface-optimization	6144	981	0	0.040624648	14.866129880	45.088248315	1.656109029	80.117201849	24576	0.000000	10.077125	24576	0.000000	10.585375	0
sphere	marching-tetrahedra	2196	1020	0	0.005893979	2.945642870	11.760332011	3.451562569	28.812809154	8784	0.280917	0.441333	8784	0.309208	0.479625	540472
sphere	lattice-cleaving	2196	1020	0	0.005893979	2.945642870	11.760332011	3.451562569	28.812809154	8784	0.201500	0.460792	8784	0.283333	0.544375	540472
sphere	dual-contouring	2196	2580	0	0.005611047	4.116919376	16.475318169	2.986567297	25.221980665	8784	0.898042	1.121792	8784	0.971458	1.205583	1444576
sphere	four-hexahedra	2196	26040	0	0.001058458	0.786493909	15.413662914	3.244026252	144.022407827	131760	8.491042	10.210500	131760	8.354584	9.831917	6903496
sphere	surface-optimization	2196	1020	0	0.006469148	1.490784479	8.956958850	1.701759417	16.355216868	8784	0.000000	3.707667	8784	0.000000	3.659750	0
merging-spheres	marching-tetrahedra	4260	1172	0	0.011817854	3.528620324	32.234960062	3.104639333	32.996883635	17040	3.835458	4.178750	17040	3.841875	4.268333	1086208
merging-spheres	lattice-cleaving	4260	1172	0	0.011817854	3.528620324	32.234960062	3.104639333	32.996883635	17040	3.683791	7.281125	17040	3.890125	7.576041	1086208
merging-spheres	dual-contouring	4260	2996	0	0.007508094	4.442147078	32.279733836	2.716040805	34.071602901	17040	5.461750	5.924709	17040	5.492833	5.993875	1928368
merging-spheres	four-hexahedra	4260	24784	0	0.001233081	1.010834383	60.828458935	3.659028932	187.899754120	255600	79.974375	82.570500	255600	82.378292	84.792416	9829216
merging-spheres	surface-optimization	4260	1172	0	0.004473304	1.747228142	6.174783507	1.384048712	2.294012116	17040	0.000000	5.554083	17040	0.000000	5.587000	0
cube	marching-tetrahedra	5640	1836	0	0.049999994	0.000000000	0.000000000	1.566591219	1.802777621	22560	3.953583	4.318917	22560	4.708583	5.092042	1549760
cube	lattice-cleaving	5640	1836	0	0.049999994	0.000000000	0.000000000	1.566591219	1.802777621	22560	4.390708	8.788208	22560	4.591166	8.910833	1549760
cube	dual-contouring	5640	4788	0	0.050301465	1.002793658	45.665434278	2.311843673	153.725206015	22560	6.764084	7.313542	22560	6.924833	7.551000	3123040
cube	four-hexahedra	5640	46152	0	0.049999994	0.000000000	0.000000000	2.129424660	4.361257428	338400	111.394958	116.796375	338400	110.820917	115.447042	15388640
cube	surface-optimization	5640	1836	0	0.049999994	2.967847602	65.437046489	1.399351242	2.050514466	22560	0.000000	8.422708	22560	0.000000	8.596542	0
capped-cylinder	marching-tetrahedra	4484	1076	0	0.049999994	4.635113134	63.232088200	3.513138515	30.390055633	17936	2.690500	2.969042	17936	3.140792	3.443167	1131264
capped-cylinder	lattice-cleaving	4484	1076	0	0.049999994	4.635113134	63.232088200	3.513138515	30.390055633	17936	2.748291	5.470791	17936	2.905792	5.690208	1131264
capped-cylinder	dual-contouring	4484	2756	0	0.050000967	3.982663808	66.490375944	3.200488841	46.099277739	17936	4.350292	4.739625	17936	4.346916	4.758000	2012304
capped-cylinder	four-hexahedra	4484	25672	0	0.049999994	1.420812967	85.132612182	6.908532015	317.007094386	269040	68.623541	70.817792	269040	70.038458	72.331584	10471968
capped-cylinder	surface-optimization	4484	1076	0	0.049999994	4.677207182	57.469941957	1.917858678	25.888899471	17936	0.000000	6.007792	17936	0.000000	5.813209	0
