shape	method	cells	triangles	hausdorff	mean_normal_deg	max_normal_deg	mean_edge_aspect	max_edge_aspect	cold_field_samples	cold_patch_ms	cold_e2e_ms	update_field_samples	update_patch_ms	update_e2e_ms	retained_bytes
perlin-terrain	full-tetrahedra	6144	698	0.580648724	91.638121996	178.138341165	1.314972501	1.632993162	0	0.000000	5.230917	0	0.000000	4.830417	0
perlin-terrain	marching-tetrahedra	6144	994	0.152916787	16.897170242	116.730192331	3.712805963	238.258648340	0	4.127667	4.828250	0	4.742959	5.446083	1570872
perlin-terrain	four-hexahedra	6144	23203	0.077343245	5.929137063	89.975627060	10.130150738	70560.600152153	368640	97.396417	99.608208	368640	104.112750	106.545583	10534912
perlin-terrain	mixed-depth-dual	6144	8598	0.091216839	8.512213494	88.631712620	5.379856758	2956.505773847	480096	51.023708	52.165958	480096	49.235083	50.278667	10478024
sphere	full-tetrahedra	2196	360	0.059839908	90.000000000	170.537677792	1.221188450	1.632993162	0	0.000000	1.200833	0	0.000000	1.140500	0
sphere	marching-tetrahedra	2196	1020	0.005893979	2.945642870	11.760332011	3.451562569	28.812809154	0	0.268042	0.430875	0	0.342959	0.532833	540472
sphere	four-hexahedra	2196	26040	0.001058458	0.786493909	15.413662914	3.244026252	144.022407827	131760	8.637125	10.688208	131760	8.524875	9.881459	6903496
sphere	mixed-depth-dual	2196	11208	0.001562803	1.328956694	16.065543449	3.141608677	55.166375390	187776	6.078083	6.557542	187776	6.472417	7.261333	4824712
merging-spheres	full-tetrahedra	4260	300	0.078963921	90.000000000	173.714705750	1.226277960	1.632993162	0	0.000000	2.748208	0	0.000000	2.734083	0
merging-spheres	marching-tetrahedra	4260	1172	0.011817854	3.528620324	32.234960062	3.104639333	32.996883635	0	3.799500	4.100958	0	3.770083	4.090000	1086208
merging-spheres	four-hexahedra	4260	24784	0.001233081	1.010834383	60.828458935	3.659028932	187.899754120	255600	80.149792	83.172375	255600	79.077583	82.178791	9829216
merging-spheres	mixed-depth-dual	4260	11424	0.002190882	1.520800101	21.661736202	4.494989585	316.074105498	355296	46.249417	47.563500	355296	47.174416	48.388250	8130568
cube	full-tetrahedra	5640	720	0.061237244	90.000000000	135.000000000	1.154700538	1.154700538	0	0.000000	2.979458	0	0.000000	3.245833	0
cube	marching-tetrahedra	5640	1836	0.049999994	0.000000000	0.000000000	1.566591219	1.802777621	0	4.450834	4.843125	0	4.281750	4.632000	1549760
cube	four-hexahedra	5640	46152	0.049999994	0.000000000	0.000000000	2.129424660	4.361257428	338400	104.907375	110.225625	338400	103.982709	108.398167	15388640
cube	mixed-depth-dual	5640	19848	0.049999994	0.000000000	0.000000000	2.028642125	6.648315156	431712	49.557542	51.003959	431712	49.747875	51.216625	12248808
capped-cylinder	full-tetrahedra	4484	304	0.075223305	90.000000000	179.999999146	1.221921507	1.632993162	0	0.000000	4.183375	0	0.000000	2.797458	0
capped-cylinder	marching-tetrahedra	4484	1076	0.049999994	4.635113134	63.232088200	3.513138515	30.390055633	0	3.045292	3.347708	0	3.035250	3.338250	1131264
capped-cylinder	four-hexahedra	4484	25672	0.049999994	1.420812967	85.132612182	6.908532015	317.007094386	269040	72.737875	75.221791	269040	69.770000	71.916625	10471968
capped-cylinder	mixed-depth-dual	4484	11432	0.049999994	1.885733286	83.542284927	10.051429517	1079.239124023	365088	34.711208	35.732333	365088	34.307375	35.285250	8141656
