shape	path	logical_cut_hash	conforming_volume_hash	surface_triangle_hash	surface_edge_hash	surface_triangles	surface_edges
sphere	stationary	2513282961544231457	12187621156557263500	4249058462863425314	8968268220092679584	6232	9348
sphere	slow-orbit	2513282961544231457	12187621156557263500	4249058462863425314	8968268220092679584	6232	9348
sphere	rapid-orbit	725904951837198907	793697219971976675	17357567810001822959	14535744207285392369	13788	20682
sphere	near-to-far	1910681473704854435	1255582903485366255	15005397847931066918	5673608798282354956	7988	11982
sphere	far-to-near	8326858129861801585	5437692651478825066	8069705693749821148	16403055071747269470	11604	17406
sphere	teleport	344787940604165683	2239128100833198360	15626442349490657685	1294881477784942222	8910	13365
sphere	reversal	16120502548847988885	17084055383899889747	13234672952595049964	7534143105385816953	7246	10869
sphere	repeated-pose	2513282961544231457	12187621156557263500	4249058462863425314	8968268220092679584	6232	9348
merging-spheres	stationary	2145491194991402379	5410105298508805065	16761804234871498079	2220050408781683477	5120	7680
merging-spheres	slow-orbit	2145491194991402379	5410105298508805065	16761804234871498079	2220050408781683477	5120	7680
merging-spheres	rapid-orbit	16793920449630134323	11237401838572741303	9574429255570266776	12632964574857655424	12844	19266
merging-spheres	near-to-far	6785721658618377910	2638567906085959948	8695903783716824188	14298196832040813440	6620	9930
merging-spheres	far-to-near	13534687988000025186	12414629654011182793	5399376043321294138	16092987706463054292	11044	16566
merging-spheres	teleport	15559838709031070858	306492304771009389	14622339843271662519	10949335409833247341	8728	13092
merging-spheres	reversal	2245764085746910009	15202421370488504513	7649612598363792593	1517662993884784357	6564	9846
merging-spheres	repeated-pose	2145491194991402379	5410105298508805065	16761804234871498079	2220050408781683477	5120	7680
cube	stationary	5921445206835449385	16319553397697532341	6491010929416491493	9866842540659135454	10474	15711
cube	slow-orbit	16392198613635188335	3212107103532536582	18332860218105823315	18250640336345875158	10790	16185
cube	rapid-orbit	6538715965795582255	16590726684654500911	4841683737788757958	9857192424986911906	20796	31194
cube	near-to-far	12393463159767087699	1211776585016583947	11318463312748184642	8399127740678340238	12732	19098
cube	far-to-near	17318519229928656059	7976228936657652920	16893086424428824873	18229961698712590707	16640	24960
cube	teleport	4340193925950850241	17126912307404862150	3187377606171744040	10070251654863607391	15202	22803
cube	reversal	12556077737178310847	16699535213527775614	3643294947355357556	9416536988147372279	12174	18261
cube	repeated-pose	4162823441941176686	10048838992484141740	6502933204274785696	15671040183941061822	10620	15930
capped-cylinder	stationary	5064456808146940458	15654786109253680909	342756093630534768	12806605810583227879	4930	7395
capped-cylinder	slow-orbit	5064456808146940458	15654786109253680909	342756093630534768	12806605810583227879	4930	7395
capped-cylinder	rapid-orbit	268669665542767722	11187278298772322145	9505135589593794760	9925051665160071240	11220	16830
capped-cylinder	near-to-far	17681613935408712645	6437736035858870707	15300125980357204465	10936418923085637219	6000	9000
capped-cylinder	far-to-near	244346520569200227	8274158375463070626	12746544947497652476	6657893137603691619	10138	15207
capped-cylinder	teleport	2961378223729044765	12412638582676030033	3905281891327257470	11566847259997626229	6690	10035
capped-cylinder	reversal	506866947457394603	4380345751584412947	666159777185790694	9667397303038452506	5576	8364
capped-cylinder	repeated-pose	5064456808146940458	15654786109253680909	342756093630534768	12806605810583227879	4930	7395
perlin-terrain	stationary	10771159108319399354	8306739072152298354	4875516775987829933	14575760221564063283	5440	8241
perlin-terrain	slow-orbit	10511304919572425217	15684681851838777602	9536743827819629824	6813140727070083446	5490	8319
perlin-terrain	rapid-orbit	11188254276063111597	10446292943243739664	8477263727341079619	10264413836260745225	9791	14817
perlin-terrain	near-to-far	9631812835180593406	369648173658669266	4121987745443718841	13536186830736926959	6328	9573
perlin-terrain	far-to-near	5085705718518191816	3862747607337303755	5991141049004261871	8245528933565972056	9225	13905
perlin-terrain	teleport	7982904738747822154	9287830994776944529	18344084590377569736	13837418617069492464	8823	13359
perlin-terrain	reversal	8574200701652014340	9946433227311532595	3839996752829082321	15198950639647672861	6474	9803
perlin-terrain	repeated-pose	17612503117663115496	14683475872280492951	15329225791508639483	1678357371995097311	5453	8262
torus	stationary	9989766273162585872	13697721811827950052	2420415903616546045	7921797192078271599	5840	8760
torus	slow-orbit	9683922024756994234	11351345449036891658	5057334469515913488	17756478739176185628	5872	8808
torus	rapid-orbit	4352758450478771279	13433659090955913561	8160897407554161742	9916212331147195754	11872	17808
torus	near-to-far	12886895785651374063	12142020493261025032	17098991411157927921	9153040091743992961	7776	11664
torus	far-to-near	13070736902167678150	14442629193954742262	2406439663923028108	7042139619397822213	11426	17139
torus	teleport	16519995034173990746	13817727833477770412	18152626051083972513	12023912578550666652	9418	14127
torus	reversal	853994044117900409	4020155450989616775	7593966498523673023	7569913626602846495	7116	10674
torus	repeated-pose	9989766273162585872	13697721811827950052	2420415903616546045	7921797192078271599	5840	8760
cone	stationary	10599761786981699200	10543723133756530283	9697708827503799048	4351203930047275936	2996	4494
cone	slow-orbit	10599761786981699200	10543723133756530283	9697708827503799048	4351203930047275936	2996	4494
cone	rapid-orbit	11916882078385954086	1465050459305376360	14487825261833484064	16520973781178929938	7352	11028
cone	near-to-far	4169389912250281933	13023074788505465633	11154422573780272801	11900959135874941401	3272	4908
cone	far-to-near	13953627089489370028	6687660971021436381	13621543961887829244	7231182569932614469	7818	11727
cone	teleport	16101274268410573123	16783246372299257836	10001767513504961042	16478202914486682208	3224	4836
cone	reversal	18043073588218392248	3164023987868882208	5377500674821524600	1615508964492959557	3170	4755
cone	repeated-pose	10599761786981699200	10543723133756530283	9697708827503799048	4351203930047275936	2996	4494
gyroid	stationary	9963080583060473241	351289510045300099	5745608619462091628	12188790648494980145	40634	61786
gyroid	slow-orbit	7675881846128939472	1503718664776435619	16215687890425869413	9744087274440964119	41963	63801
gyroid	rapid-orbit	996675039004050123	15865876846752598156	16291113910511598045	1861674528641228280	86250	130719
gyroid	near-to-far	730599556878490897	14363406257454796248	4446455750773620823	16118426680246380497	94580	143057
gyroid	far-to-near	14338757067979570750	7360443624767833162	5543019551508112783	9481283655416366791	55232	83434
gyroid	teleport	172404918317324629	1064558506546301786	16186460670186698990	955548193797544979	61535	93407
gyroid	reversal	14987876783069800912	15805517779215473775	6846254304522334597	9455754482755973809	47604	72324
gyroid	repeated-pose	12598382811610097607	2249014079888889869	6437904635553913340	11838556884811716961	41214	62666
rounded-cube	stationary	11569372759693203066	7592032282516179901	16229412773392335903	1530981062250193977	7864	11796
rounded-cube	slow-orbit	9098427048397544602	17641226968289216404	10006330524059322177	14546052380201002799	8008	12012
rounded-cube	rapid-orbit	834009088921433287	9313608905994120035	16570761955789277376	10485018246253270144	15708	23562
rounded-cube	near-to-far	5733108764526246255	12661020357584853407	6323744193856708891	10983118442620578515	9612	14418
rounded-cube	far-to-near	17466834023573954880	12031765755988512837	2502969788606509081	17849027365982365484	13502	20253
rounded-cube	teleport	479903647429001231	4370856534505903452	17567187933363068649	10221446606959073103	11600	17400
rounded-cube	reversal	3259198781955515021	5181167172577280154	1624878788914953869	4875720697688736086	9138	13707
rounded-cube	repeated-pose	10523953433544411659	13531666387594942130	10409749232871405102	18387598668269842220	7872	11808
